doc_id,item,category,amount,price,discount
Z8QHdK,Тарелка,Посуда,5,58.62,0
HWfFgg,Мыло,Бытовая химия,1,999.91,0
HWfFgg,Сковорода,Посуда,2,868.3,67.3
HWfFgg,Полотенце,Текстиль,4,959.23,0
HWfFgg,Стиральный порошок,Бытовая химия,1,117.56,0
mGm5UI,Мыло,Бытовая химия,1,461.5,0
mGm5UI,Полотенце,Текстиль,2,927.14,0
mGm5UI,Сковорода,Посуда,4,224.55,62.37
mGm5UI,Полотенце,Текстиль,5,656.77,36.18
6dJL28,Стиральный порошок,Бытовая химия,1,880.47,0
6dJL28,Полотенце,Текстиль,4,683.92,0
4ZPnWs,Мыло,Бытовая химия,4,270.88,0
4ZPnWs,Футболка,Текстиль,4,849.43,0
4ZPnWs,Тарелка,Посуда,2,82.49,23.98
4ZPnWs,Стиральный порошок,Бытовая химия,2,100.8,79.78
4ZPnWs,Футболка,Текстиль,2,250.35,62.51
UHZ3GW,Сковорода,Посуда,2,837.61,0
UHZ3GW,Футболка,Текстиль,4,857.29,0
UHZ3GW,Сковорода,Посуда,4,247.95,0
UHZ3GW,Сковорода,Посуда,3,519.4,84.86
