doc_id,item,category,amount,price,discount
lzajzE4E,Тарелка,Посуда,5,597.51,0
Lfh7dMfa,Тарелка,Посуда,5,883.17,0
ikzqcblG,Сковорода,Посуда,3,468.11,0
znt8Ev93,Сковорода,Посуда,2,672.05,7.64
VfJtFv7t,Тарелка,Посуда,2,400.83,0
M41ibmzq,Мыло,Бытовая химия,1,831.59,0
pOxbm0rc,Футболка,Текстиль,3,270.25,41.1
E0pfW0lb,Футболка,Текстиль,1,680.02,36.38
9gzJ37Sy,Футболка,Текстиль,3,545.04,0
0Csv1Edc,Футболка,Текстиль,5,407.57,0
ulk9MXKW,Тарелка,Посуда,5,297.05,0
c98ogdpY,Футболка,Текстиль,3,653.26,0
IZbjzQbT,Футболка,Текстиль,1,651.49,0
