doc_id,item,category,amount,price,discount
ILkvpQ,Тарелка,Посуда,3,937.76,29.34
ILkvpQ,Футболка,Текстиль,1,281.28,0
ILkvpQ,Стиральный порошок,Бытовая химия,2,531.13,29.22
xVlGiz,Сковорода,Посуда,2,897.15,0
KwLO7C,Футболка,Текстиль,4,894.46,0
KwLO7C,Тарелка,Посуда,3,316.05,0
KwLO7C,Футболка,Текстиль,2,772.37,0
KwLO7C,Мыло,Бытовая химия,1,662.45,92.93
KwLO7C,Футболка,Текстиль,2,358.06,0
Z9TEUH,Футболка,Текстиль,3,910.38,0
Z9TEUH,Стиральный порошок,Бытовая химия,4,104.17,86.58
Z9TEUH,Стиральный порошок,Бытовая химия,5,319.06,16.59
Z9TEUH,Стиральный порошок,Бытовая химия,4,779.34,75.28
Z9TEUH,Футболка,Текстиль,1,140.97,51.08
RtG0mo,Мыло,Бытовая химия,2,408.79,0
RtG0mo,Стиральный порошок,Бытовая химия,1,871.37,84.2
RtG0mo,Сковорода,Посуда,2,420.03,0
RtG0mo,Мыло,Бытовая химия,3,850.15,0
RtG0mo,Стиральный порошок,Бытовая химия,3,516.96,0
7Pgznv,Футболка,Текстиль,2,91.91,40.03
bUkLIE,Стиральный порошок,Бытовая химия,1,75.85,0
9P9r9s,Полотенце,Текстиль,1,438.4,0
9P9r9s,Стиральный порошок,Бытовая химия,2,687.88,43.84
9P9r9s,Футболка,Текстиль,1,986.05,26.41
9P9r9s,Футболка,Текстиль,3,228.85,21.76
9P9r9s,Тарелка,Посуда,5,893.61,54.03
8DWdxw,Футболка,Текстиль,4,877.08,50.56
MN8zlw,Футболка,Текстиль,1,463.42,0
MN8zlw,Стиральный порошок,Бытовая химия,3,243.88,0
MN8zlw,Мыло,Бытовая химия,4,105.51,45.47
MN8zlw,Мыло,Бытовая химия,2,343.15,0
